Wavelength,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
A1,0.204,0.2282,0.2527,0.2523,0.1934,0.1381,0.1027,0.084,0.0818,0.083,0.0859,0.0896,0.096,0.1092,0.1283,0.1547,0.1926,0.256,0.3518,0.4809,0.6123,0.7293,0.9362,1.266,1.6813,1.8974,1.493,0.8318,0.4189,0.2149,0.1324,0.0951,0.0805
A2,0.2657,0.3,0.3316,0.339,0.2914,0.2456,0.2215,0.2326,0.276,0.3298,0.3909,0.4331,0.4676,0.4779,0.4759,0.4718,0.4552,0.4272,0.4311,0.4936,0.5866,0.6823,0.8678,1.1707,1.5554,1.7545,1.3937,0.7728,0.3916,0.2044,0.1268,0.0924,0.0787
A3,0.3247,0.3697,0.4081,0.4241,0.3888,0.3531,0.3415,0.3823,0.4715,0.5742,0.6928,0.772,0.8267,0.8184,0.7863,0.7509,0.686,0.5779,0.501,0.5016,0.5569,0.6279,0.7882,1.0612,1.4084,1.5861,1.2586,0.7056,0.3586,0.1873,0.1172,0.0854,0.0736
A4,0.3952,0.4523,0.5008,0.5272,0.5068,0.4842,0.4854,0.5613,0.7006,0.8601,1.0464,1.1671,1.2379,1.1976,1.125,1.0541,0.9391,0.7461,0.5868,0.5217,0.5339,0.5802,0.712,0.9506,1.2593,1.417,1.1338,0.6422,0.3281,0.1732,0.1106,0.0824,0.0714
A5,0.4661,0.535,0.592,0.6294,0.6234,0.6129,0.6272,0.7354,0.9217,1.1343,1.3862,1.5456,1.6285,1.5513,1.439,1.3328,1.1737,0.9053,0.6708,0.5473,0.5195,0.5408,0.6453,0.854,1.1262,1.2628,1.0159,0.5791,0.302,0.1645,0.1086,0.0838,0.0741
A6,0.5261,0.6061,0.6723,0.7203,0.7284,0.7297,0.7569,0.8951,1.1266,1.3897,1.6991,1.8993,1.9924,1.8787,1.7251,1.5876,1.3837,1.0446,0.7452,0.5668,0.5002,0.4963,0.5764,0.7541,0.9878,1.1022,0.8926,0.5154,0.2721,0.1527,0.1045,0.0829,0.0747
A7,0.5898,0.6824,0.7578,0.8171,0.8396,0.8521,0.891,1.0594,1.3348,1.6447,2.01,2.245,2.3447,2.1903,1.9971,1.8287,1.5884,1.1813,0.8168,0.5862,0.4796,0.45,0.5017,0.643,0.8314,0.9275,0.7552,0.4429,0.2412,0.1412,0.1011,0.0836,0.0766
A8,0.6453,0.7491,0.8339,0.9029,0.9392,0.9639,1.0161,1.211,1.5264,1.8845,2.3083,2.5749,2.6835,2.4944,2.263,2.0599,1.7812,1.3053,0.8809,0.5982,0.4576,0.4034,0.4278,0.5378,0.6891,0.7661,0.6286,0.3735,0.2077,0.1256,0.0929,0.0782,0.0727
A9,0.7053,0.8186,0.9138,0.994,1.0442,1.0823,1.1473,1.3732,1.7331,2.1298,2.6053,2.893,3.0029,2.7831,2.518,2.2848,1.9756,1.4349,0.947,0.6151,0.4368,0.3579,0.3543,0.4296,0.5412,0.5964,0.4928,0.3012,0.1753,0.113,0.0886,0.0778,0.0736
A10,0.764,0.8898,0.9945,1.086,1.154,1.2058,1.2851,1.5443,1.9475,2.3915,2.9077,3.2118,3.3092,3.0735,2.7803,2.5262,2.1724,1.562,1.0117,0.6294,0.4096,0.3049,0.2718,0.3111,0.3808,0.4148,0.347,0.2195,0.1344,0.0925,0.0759,0.0687,0.0661
A11,0.8309,0.9688,1.0837,1.1858,1.2684,1.3332,1.4273,1.7153,2.1598,2.6396,3.1812,3.4656,3.5497,3.3247,3.0242,2.7465,2.3641,1.6871,1.0795,0.6484,0.3887,0.2612,0.1984,0.2025,0.2315,0.247,0.2123,0.1467,0.1029,0.0814,0.0729,0.0691,0.0679
A12,0.8872,1.0376,1.1615,1.2749,1.3727,1.4503,1.5561,1.8711,2.3501,2.8617,3.4035,3.6547,3.7249,3.5349,3.2426,2.9553,2.5454,1.7992,1.1389,0.663,0.3692,0.2151,0.1243,0.0917,0.0794,0.0742,0.071,0.0683,0.0669,0.066,0.0655,0.0653,0.0657
B1,0.2561,0.2893,0.3198,0.3279,0.2816,0.234,0.2008,0.1757,0.1594,0.1455,0.1301,0.1198,0.1143,0.1195,0.1309,0.1485,0.1785,0.232,0.3146,0.4262,0.539,0.642,0.8211,1.109,1.4714,1.6586,1.3155,0.7386,0.3774,0.1971,0.1246,0.0919,0.0792
B2,0.3268,0.3678,0.4036,0.4175,0.3808,0.3418,0.3192,0.3226,0.3485,0.3828,0.4212,0.4456,0.4637,0.4635,0.4519,0.4392,0.4175,0.3875,0.3875,0.4389,0.5197,0.6017,0.7639,1.0245,1.3552,1.5296,1.2181,0.6857,0.3561,0.1859,0.12,0.0895,0.0775
B3,0.3883,0.4399,0.4836,0.5071,0.4834,0.4551,0.4435,0.4753,0.5442,0.6279,0.7229,0.7815,0.817,0.7985,0.756,0.7119,0.6433,0.5364,0.4597,0.4518,0.4949,0.5541,0.6918,0.9257,1.223,1.3759,1.1054,0.6265,0.325,0.175,0.1147,0.0875,0.077
B4,0.4426,0.5036,0.5536,0.5849,0.573,0.5551,0.5555,0.616,0.7279,0.8583,1.0083,1.1017,1.1504,1.1054,1.0294,0.9572,0.8476,0.673,0.5268,0.465,0.4711,0.5076,0.6193,0.8224,1.0865,1.2211,0.9833,0.5669,0.2982,0.1646,0.1109,0.0863,0.077
B5,0.4978,0.5702,0.63,0.6714,0.6726,0.6662,0.678,0.7678,0.9188,1.0924,1.2953,1.4164,1.4733,1.3956,1.2848,1.1826,1.0352,0.799,0.5914,0.4804,0.4521,0.4675,0.5552,0.7325,0.9594,1.0739,0.8728,0.5069,0.2703,0.1542,0.1071,0.0857,0.0773
B6,0.5614,0.6438,0.7112,0.7627,0.7774,0.7819,0.8066,0.9245,1.1189,1.3411,1.5991,1.7581,1.8235,1.7093,1.5597,1.4281,1.2416,0.9412,0.6693,0.5063,0.4422,0.4351,0.4994,0.6454,0.8386,0.9374,0.769,0.4514,0.2503,0.1481,0.1075,0.0889,0.0818
B7,0.6,0.6911,0.765,0.824,0.8517,0.8661,0.9012,1.0454,1.2761,1.5387,1.8459,2.0358,2.1101,1.9589,1.7762,1.6186,1.401,1.0415,0.7141,0.5084,0.4122,0.3843,0.4249,0.5449,0.7049,0.7901,0.6492,0.3875,0.2143,0.1288,0.0943,0.0792,0.0726
B8,0.6544,0.7549,0.8358,0.9041,0.9425,0.968,1.0157,1.1854,1.4532,1.759,2.1169,2.3368,2.4123,2.2301,2.0094,1.8246,1.5732,1.1574,0.7729,0.5251,0.3964,0.348,0.3666,0.4594,0.5893,0.6556,0.5442,0.3312,0.1901,0.1181,0.0901,0.0771,0.0724
B9,0.7012,0.8097,0.8975,0.974,1.0226,1.0578,1.1142,1.3071,1.61,1.9492,2.347,2.5965,2.6749,2.4613,2.2157,2.0062,1.729,1.2586,0.8268,0.5374,0.3793,0.3098,0.3046,0.3657,0.4586,0.5066,0.4244,0.2654,0.1582,0.1048,0.0838,0.0742,0.0708
B10,0.7606,0.8794,0.9777,1.0633,1.1259,1.1719,1.2404,1.46,1.8019,2.182,2.6253,2.8936,2.9704,2.7273,2.4476,2.2119,1.9013,1.3743,0.8924,0.554,0.3636,0.2729,0.2432,0.2754,0.3336,0.3633,0.3076,0.1996,0.1271,0.0917,0.0773,0.071,0.0686
B11,0.7956,0.9218,1.0255,1.1186,1.191,1.2467,1.3247,1.5636,1.9299,2.3363,2.8042,3.0755,3.1458,2.8905,2.5882,2.3383,2.0034,1.438,0.924,0.5592,0.3412,0.2328,0.1805,0.1838,0.2081,0.2202,0.1912,0.1363,0.0988,0.0802,0.0729,0.0696,0.0684
B12,0.8471,0.9838,1.0973,1.1996,1.286,1.3533,1.4434,1.7096,2.1181,2.56,3.0616,3.3441,3.4203,3.1525,2.8298,2.5573,2.1939,1.5643,0.988,0.5797,0.3259,0.1951,0.1176,0.0902,0.0797,0.0753,0.0722,0.0696,0.0679,0.0668,0.0664,0.0664,0.0665
C1,0.3003,0.3392,0.3751,0.3889,0.3521,0.3103,0.2793,0.2493,0.2221,0.196,0.1662,0.1451,0.1301,0.1288,0.1344,0.1464,0.1698,0.216,0.288,0.3862,0.4866,0.575,0.7343,0.9888,1.3113,1.4723,1.1745,0.6653,0.3433,0.1834,0.1193,0.0905,0.0793
C2,0.3668,0.4136,0.4537,0.4737,0.4468,0.4135,0.3912,0.3846,0.3922,0.4077,0.4231,0.4311,0.4351,0.4293,0.4127,0.3949,0.371,0.3442,0.3442,0.3887,0.4583,0.5294,0.6698,0.8944,1.1845,1.3297,1.0648,0.6064,0.3148,0.1717,0.1138,0.0876,0.0774
C3,0.4228,0.4797,0.5281,0.5558,0.5393,0.5148,0.5039,0.5242,0.5723,0.6313,0.6982,0.7371,0.7567,0.7318,0.688,0.6432,0.5784,0.4819,0.413,0.4055,0.4423,0.4944,0.6127,0.8185,1.0771,1.2098,0.973,0.5624,0.2948,0.1624,0.1096,0.0855,0.0761
C4,0.4737,0.5394,0.5938,0.6297,0.6244,0.6095,0.6076,0.6522,0.7365,0.8376,0.9488,1.0171,1.0476,1.0033,0.9309,0.8605,0.7586,0.6043,0.4739,0.4183,0.4228,0.4546,0.5524,0.7298,0.9583,1.0708,0.869,0.5069,0.2696,0.1536,0.1068,0.0858,0.0774
C5,0.5233,0.5987,0.6613,0.7048,0.7109,0.7059,0.7151,0.7859,0.9091,1.0506,1.2141,1.3112,1.3511,1.2762,1.1722,1.0739,0.9375,0.7243,0.5339,0.4308,0.4025,0.4133,0.4886,0.6391,0.8344,0.931,0.7604,0.4464,0.2427,0.1416,0.1012,0.083,0.076
C6,0.5669,0.649,0.717,0.7682,0.7848,0.7889,0.809,0.9053,1.0634,1.245,1.4558,1.5814,1.6281,1.5238,1.3906,1.2689,1.1002,0.8312,0.5911,0.4449,0.3873,0.3806,0.4351,0.5621,0.7308,0.8147,0.6664,0.3961,0.2175,0.1302,0.0944,0.0785,0.0725
C7,0.6108,0.7018,0.7814,0.8387,0.8618,0.8794,0.9101,1.023,1.2188,1.4298,1.6789,1.8269,1.8783,1.7454,1.5827,1.4383,1.2414,0.9291,0.6383,0.4546,0.369,0.3429,0.3755,0.4771,0.6118,0.6761,0.5573,0.3411,0.1988,0.1246,0.0948,0.0821,0.0774
C8,0.6572,0.7554,0.8356,0.9024,0.9405,0.9648,1.0057,1.1503,1.3774,1.6332,1.9337,2.1122,2.1678,2.0039,1.8072,1.632,1.4048,1.034,0.6938,0.4666,0.3506,0.3049,0.3169,0.3913,0.495,0.5478,0.457,0.2818,0.1664,0.1083,0.0852,0.0747,0.0708
C9,0.6996,0.8051,0.8893,0.9619,1.0091,1.041,1.091,1.2591,1.5184,1.8103,2.1511,2.3552,2.4143,2.22,1.994,1.8019,1.5472,1.1351,0.7496,0.4858,0.3438,0.281,0.2738,0.3253,0.4023,0.4418,0.3711,0.2357,0.1463,0.1017,0.0838,0.0759,0.0727
C10,0.7497,0.8634,0.9555,1.0359,1.0944,1.1356,1.1951,1.3826,1.677,2.0054,2.387,2.6125,2.6748,2.4509,2.1957,1.9812,1.6992,1.235,0.8061,0.5048,0.3347,0.2545,0.2279,0.2562,0.3075,0.3324,0.2833,0.1885,0.1245,0.0929,0.0803,0.0744,0.0725
C11,0.7894,0.9102,1.0087,1.0959,1.1642,1.2143,1.2826,1.4894,1.8028,2.1568,2.566,2.8098,2.8696,2.6243,2.349,2.1173,1.8102,1.3057,0.8419,0.5075,0.3125,0.216,0.1691,0.1714,0.1921,0.2026,0.1776,0.1302,0.0982,0.0818,0.075,0.0721,0.0712
C12,0.8327,0.9619,1.0682,1.1646,1.2432,1.3017,1.38,1.6093,1.9581,2.3438,2.7818,3.0412,3.1013,2.8326,2.5303,2.2775,1.947,1.3979,0.8844,0.5197,0.2995,0.1845,0.1175,0.0932,0.0841,0.0801,0.0773,0.0743,0.0726,0.0711,0.0706,0.07,0.07
D1,0.3355,0.3795,0.4181,0.4373,0.4087,0.3717,0.3423,0.3074,0.2699,0.2339,0.1926,0.1627,0.1391,0.132,0.1335,0.1411,0.1597,0.1999,0.2636,0.351,0.4394,0.5182,0.6596,0.8865,1.1736,1.3189,1.0559,0.599,0.3122,0.1702,0.1133,0.0874,0.0775
D2,0.4039,0.4544,0.4983,0.5217,0.5001,0.4701,0.448,0.4345,0.4285,0.4287,0.4272,0.4216,0.4155,0.4041,0.3843,0.3632,0.339,0.3157,0.3178,0.3596,0.4215,0.4853,0.6098,0.8138,1.0728,1.2027,0.9677,0.5582,0.2937,0.1637,0.1118,0.0886,0.0795
D3,0.4411,0.4988,0.5471,0.5773,0.5653,0.5439,0.5314,0.54,0.5671,0.6036,0.6439,0.6645,0.6705,0.6463,0.6051,0.5622,0.5025,0.4213,0.3635,0.3594,0.3931,0.4391,0.5451,0.7256,0.9524,1.0656,0.863,0.4995,0.2636,0.1487,0.1028,0.082,0.0741
D4,0.4925,0.5584,0.6137,0.6509,0.6488,0.6354,0.6323,0.6641,0.7247,0.7998,0.8835,0.9311,0.9478,0.9041,0.8376,0.7715,0.6779,0.5394,0.4249,0.3765,0.3803,0.4092,0.495,0.6529,0.8493,0.9511,0.7756,0.4573,0.2476,0.1443,0.1033,0.0847,0.0775
D5,0.5406,0.6159,0.6784,0.7231,0.7307,0.7262,0.7321,0.7877,0.8819,0.9964,1.1222,1.1959,1.2205,1.152,1.0594,0.9676,0.8425,0.6512,0.4812,0.3919,0.3681,0.3788,0.4461,0.5819,0.7561,0.8427,0.6906,0.4104,0.2262,0.1358,0.0995,0.0832,0.077
D6,0.5806,0.6641,0.7333,0.785,0.8038,0.8081,0.823,0.9017,1.0311,1.182,1.3504,1.4498,1.4809,1.3847,1.2618,1.1483,0.9909,0.7507,0.5308,0.3995,0.3465,0.3387,0.3851,0.4956,0.6377,0.7096,0.5859,0.3534,0.1986,0.1228,0.0924,0.0788,0.0739
D7,0.6269,0.7193,0.7934,0.8531,0.8828,0.8963,0.922,1.0235,1.1844,1.3725,1.5852,1.7103,1.7457,1.62,1.4678,1.3279,1.1435,0.8521,0.5846,0.4118,0.3312,0.305,0.331,0.4164,0.5286,0.5861,0.4874,0.3009,0.1748,0.1138,0.0896,0.0785,0.074
D8,0.6621,0.7582,0.8365,0.9015,0.9389,0.9606,0.9965,1.1203,1.3135,1.5361,1.7893,1.9401,1.981,1.8312,1.6516,1.4903,1.2808,0.9489,0.6363,0.4307,0.3269,0.2864,0.297,0.3642,0.4565,0.5038,0.422,0.2653,0.1598,0.1081,0.0874,0.0783,0.0747
D9,0.6999,0.8006,0.8828,0.9529,0.9979,1.0265,1.0691,1.2119,1.4314,1.6836,1.9724,2.1415,2.1858,2.0111,1.8046,1.6292,1.4001,1.0251,0.6761,0.4428,0.316,0.2609,0.2559,0.3018,0.3702,0.4045,0.3415,0.2217,0.1402,0.1004,0.0843,0.0772,0.0745
D10,0.7548,0.8637,0.9528,1.0303,1.0856,1.1229,1.1747,1.3391,1.5903,1.8729,2.1982,2.3936,2.437,2.2315,1.996,1.7959,1.539,1.1213,0.7298,0.4573,0.3045,0.2324,0.2073,0.229,0.271,0.2918,0.2508,0.1724,0.1188,0.0925,0.0818,0.0769,0.0753
D11,0.7856,0.9004,0.995,1.0775,1.1406,1.1846,1.2436,1.419,1.6905,1.9958,2.3495,2.5598,2.6043,2.3814,2.1281,1.9157,1.6372,1.1881,0.7639,0.4632,0.2905,0.2039,0.1633,0.1663,0.186,0.197,0.1737,0.129,0.0982,0.0829,0.0765,0.0736,0.0725
